sgRNA_ID,Target_Gene,Base_Mean_Counts,LFC_Treatment_vs_Control,p_value,FDR,Pathway_Annotation
RPL1_sg1,RPL1,36,-3.1829,2.40756726112306e-24,2.735871887639841e-23,Ribosome
RPL1_sg2,RPL1,2903,-3.678,1.262504443714473e-192,3.209757060291033e-190,Unassigned
RPL1_sg3,RPL1,528,-3.4072,9.848136236689919e-128,7.49858089088065e-126,Unassigned
RPL1_sg4,RPL1,68,-2.9758,8.872239344108247e-35,1.251962278096178e-33,Unassigned
RPL1_sg5,RPL1,72,-3.4953,2.5953530318558475e-49,4.95927330927869e-48,Unassigned
RPL2_sg1,RPL2,338,-3.6183,2.4252559643293803e-124,1.7079267354432257e-122,Ribosome
RPL2_sg2,RPL2,1337,-3.3896,3.837495241389172e-152,4.796869051736465e-150,Ribosome
RPL2_sg3,RPL2,59,-3.2646,2.110635308667605e-37,3.143945345582332e-36,Ribosome
RPL2_sg4,RPL2,1755,-3.032,4.0097085136837023e-126,2.891616716598824e-124,Ribosome
RPL2_sg5,RPL2,288,-3.7617,5.085915202637986e-126,3.6327965733128474e-124,Unassigned
RPL3_sg1,RPL3,82,-2.9011,8.801124583645379e-38,1.3254705698261113e-36,Unassigned
RPL3_sg2,RPL3,164,-3.4133,1.735634769249802e-79,5.798334418429182e-78,Unassigned
RPL3_sg3,RPL3,4550,-3.3668,1.0369968143371546e-165,1.5400942787185463e-163,Unassigned
RPL3_sg4,RPL3,41,-3.2893,1.0547693360062093e-28,1.3217660852208137e-27,Unassigned
RPL3_sg5,RPL3,110,-4.2947,2.950055004790117e-98,1.3209201513985597e-96,Unassigned
RPL4_sg1,RPL4,1379,-5.5199,1e-300,1.153846153846154e-297,Ribosome
RPL4_sg2,RPL4,457,-4.4091,1.1470068896164235e-203,3.308673720047376e-201,Ribosome
RPL4_sg3,RPL4,101,-4.2828,1.9138504728105876e-92,7.86513892935858e-91,Unassigned
RPL4_sg4,RPL4,1404,-4.9125,1e-300,1.153846153846154e-297,Ribosome
RPL4_sg5,RPL4,1508,-4.7825,1e-300,1.153846153846154e-297,Unassigned
RPL5_sg1,RPL5,543,-2.5354,3.877257298316348e-72,1.1480915542410052e-70,Ribosome
RPL5_sg2,RPL5,132,-2.7407,6.539754117690592e-46,1.1734008584373072e-44,Ribosome
RPL5_sg3,RPL5,166,-2.7212,1.595825405092088e-51,3.1663202481985877e-50,Unassigned
RPL5_sg4,RPL5,506,-2.9014,4.682162848782164e-92,1.9084902916231648e-90,Unassigned
RPL6_sg1,RPL6,46,-3.152,5.679465665134567e-29,7.146978605454572e-28,Ribosome
RPL6_sg2,RPL6,2420,-2.6478,1.7092254278839134e-99,7.8887327440796e-98,Unassigned
RPL6_sg3,RPL6,4232,-2.7933,2.55338196023946e-114,1.4787926410653243e-112,Unassigned
RPL6_sg4,RPL6,232,-3.0672,7.705421710917378e-77,2.4856199067475413e-75,Ribosome
RPL6_sg5,RPL6,563,-3.1272,8.191712950900673e-110,4.435945641281953e-108,Unassigned
RPL7_sg1,RPL7,1956,-2.2673,3.8805494533345973e-72,1.1480915542410052e-70,Ribosome
RPL7_sg2,RPL7,6206,-2.945,9.608033951158078e-129,7.585289961440587e-127,Ribosome
RPL7_sg3,RPL7,3413,-2.3818,9.852674902011265e-83,3.5188124650040234e-81,Unassigned
RPL7_sg4,RPL7,24,-1.9872,1.0240123485036854e-07,6.308084282363565e-07,Unassigned
RPL7_sg5,RPL7,206,-2.7797,5.707418242882699e-60,1.317096517588315e-58,Unassigned
RPL8_sg1,RPL8,700,-3.2954,2.0862063546095954e-128,1.6298487145387464e-126,Unassigned
RPL8_sg2,RPL8,157,-3.7854,5.311079054172006e-95,2.263243915130116e-93,Unassigned
RPL8_sg3,RPL8,4789,-3.9469,1.8749537357780722e-227,9.37476867889036e-225,Unassigned
RPL8_sg4,RPL8,3805,-3.8588,3.2814513302395117e-215,1.20053097447787e-212,Ribosome
RPL8_sg5,RPL8,97,-3.6799,6.145219952036864e-67,1.654906629812441e-65,Unassigned
RPL9_sg1,RPL9,259,-1.5761,1.4065309500755147e-22,1.5244193823072774e-21,Ribosome
RPL9_sg2,RPL9,107,-1.7591,1.3504490213419256e-17,1.2927080612717858e-16,Unassigned
RPL9_sg3,RPL9,246,-0.7329,6.992129224920578e-06,3.5397211736013725e-05,Unassigned
RPL9_sg4,RPL9,236,-2.0459,1.9014741792162748e-35,2.7163916845946782e-34,Ribosome
